City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,ponta delgada,37.7333,-25.6667,23.4,94,75,3.6,PT,1691608029
323,nadym,65.5333,72.5167,9.3,72,0,8.86,RU,1691608029
324,isafjordur,66.0755,-23.124,10.46,53,59,3.27,IS,1691608029
325,ramadi,33.4226,43.3058,39.71,11,0,3.08,IQ,1691608029
326,calama,-22.4667,-68.9333,22.44,7,0,9.38,CL,1691608029
327,queenstown,-31.8976,26.8753,11.01,83,0,2.39,ZA,1691608030
328,palmer,42.1584,-72.3287,28.92,50,75,7.72,US,1691608030
329,kruisfontein,-34.0033,24.7314,15.49,86,0,5.98,ZA,1691608030
330,princeville,45.7668,-61.2985,19.95,93,93,4.47,CA,1691608030
331,vorkuta,67.5,64.0,10.5,71,85,2.36,RU,1691607893
332,happy valley-goose bay,53.3168,-60.3315,17.17,82,100,5.14,CA,1691608031
333,hadibu,12.65,54.0333,25.69,80,74,7.11,YE,1691607740
334,amursk,50.2261,136.8994,15.47,74,100,6.06,RU,1691608031
335,arraial do cabo,-22.9661,-42.0278,22.92,73,40,7.72,BR,1691608031
336,leh,34.1667,77.5833,20.33,29,3,1.84,IN,1691607975
337,tralee,52.2704,-9.7026,20.3,82,0,2.15,IE,1691608032
338,reinosa,42.9996,-4.138,17.48,40,60,2.49,ES,1691608032
339,swift current,50.2834,-107.8014,20.39,55,82,6.2,CA,1691608032
340,kristiansund,63.1115,7.732,11.36,93,75,1.54,NO,1691608032
341,al hudaydah,14.7978,42.9545,31.6,63,42,3.14,YE,1691608033
342,broome,42.2506,-75.833,27.59,60,40,3.09,US,1691608033
343,merizo village,13.2658,144.6691,26.31,97,100,7.89,GU,1691608033
344,naze,28.3667,129.4833,25.66,88,65,6.26,JP,1691608033
345,port douglas,-16.4833,145.4667,21.04,82,99,7.46,AU,1691608033
346,valentin gomez farias,28.2167,-106.5833,31.94,22,12,2.4,MX,1691608033
347,praya,14.9215,-23.5087,28.3,57,20,6.69,CV,1691607750
348,labrador city,52.9463,-66.9114,10.69,98,100,5.75,CA,1691608034
349,trapani,37.8333,12.6667,22.93,52,62,3.44,IT,1691607736
350,hammerfest,70.6634,23.6821,24.25,60,0,2.06,NO,1691607876
351,dwarka,22.2394,68.9678,27.22,81,100,9.36,IN,1691607848
352,saudarkrokur,65.7461,-19.6394,7.86,72,65,5.78,IS,1691608035
353,ulsteinvik,62.3432,5.8487,13.2,91,100,5.36,NO,1691607870
354,sinop,41.7711,34.8709,16.39,87,6,0.97,TR,1691608035
355,hami,42.8,93.45,29.85,22,2,7.31,CN,1691608035
356,oume,35.7839,139.2431,26.0,97,40,1.54,JP,1691608035
357,yabassi,4.457,9.9682,23.0,98,100,1.06,CM,1691608036
358,kuala tungkal,-0.8167,103.4667,25.74,82,87,2.96,ID,1691608036
359,tucuma,-0.1833,-50.05,29.79,66,15,4.27,BR,1691608036
360,okhotsk,59.3833,143.3,11.8,78,10,0.96,RU,1691608036
361,katsuren-haebaru,26.3369,127.8719,27.01,97,75,2.06,JP,1691608037
362,hasaki,35.7333,140.8333,26.84,86,17,4.69,JP,1691608037
